"상세영업상태코드","사업장명","시군구명","동리명","설립년도","폐업년도","영업기간"
2,"크라운베이커리구로공단역점","구로구","구로동",1998,2012,15
2,"뚜레쥬르","구로구","구로동",1998,2011,14
2,"서울연인 단팥빵","구로구","구로동",2014,2015,2
2,"서울연인 단팥빵","구로구","신도림동",2014,2015,2
2,"제크와빵나무","구로구","고척동",1989,2006,18
2,"샹제르망","구로구","온수동",1989,2007,19
2,"뚜레쥬르","구로구","구로동",2001,2016,16
2,"케익하우스 엠마","구로구","오류동",2001,2012,12
2,"파리팡스","구로구","고척동",2001,2012,12
2,"빵굼터","구로구","개봉동",2001,2007,7
2,"강대석 베이커리","구로구","구로동",2006,2008,3
2,"빠띠시에(Patissier)","구로구","오류동",2006,2011,6
2,"꾸쉬꾸떼과자점","구로구","오류동",2006,2010,5
2,"파리바게뜨 구로디지털단지점","구로구","구로동",2007,2011,5
2,"크라운베이커리 개봉점","구로구","개봉동",2007,2010,4
2,"슈슈","구로구","고척동",2007,2007,1
2,"하나멜과자점","구로구","궁동",2007,2015,9
2,"행복한 연세빵집","구로구","궁동",2007,2010,4
2,"굿모닝 오븐트리","구로구","구로동",2007,2008,2
2,"뚜레쥬르(남구로점)","구로구","구로동",2007,2019,13
2,"뚜레쥬르 신도림역점","구로구","신도림동",2007,2012,6
2,"참손만두(찐빵)","구로구","개봉동",2007,2008,2
2,"케익하우스몽마","구로구","개봉동",2001,2010,10
2,"파리베이커리","구로구","개봉동",2001,2011,11
2,"그랑프리과자점","구로구","개봉동",2002,2010,9
2,"파리바게뜨","구로구","개봉동",2002,2018,17
2,"신라명과(구로중앙)","구로구","구로동",2002,2005,4
2,"빵굽는마을","구로구","고척동",2002,2006,5
2,"(주)조선호텔베이커리 구로점","구로구","구로동",2002,2011,10
2,"크라운베이커리","구로구","구로동",2002,2011,10
2,"코코호도 구로디지털역점","구로구","구로동",2007,2010,4
2,"밀브레 신도림점","구로구","구로동",2007,2010,4
2,"레드팡과자점","구로구","오류동",2002,2017,16
2,"케익하우스 몽마","구로구","고척동",2003,2006,4
2,"뚜레쥬르","구로구","고척동",2003,2010,8
2,"신라명과","구로구","구로동",2003,2006,4
2,"브레덴코 신도림이마트점","구로구","구로동",2013,2014,2
2,"따끈따끈홈베이커리","구로구","구로동",2011,2013,3
2,"케익프라자","구로구","구로동",2003,2006,4
2,"뚜레쥬르고척시장점","구로구","고척동",2003,2017,15
2,"빵장수 야곱","구로구","신도림동",2003,2010,8
2,"주재근베이커리","구로구","개봉동",1981,2012,32
2,"빵굽는집","구로구","온수동",1981,2011,31
2,"샤르망빵집","구로구","구로동",1982,2011,30
2,"독일제과","구로구","고척동",1983,2011,29
2,"아로마뜨베이커리","구로구","개봉동",1983,2011,29
2,"바게뜨과자점","구로구","개봉동",1983,2011,29
2,"독일빵집구로분점","구로구","구로동",1984,2007,24
2,"영국빵집","구로구","구로동",1984,2006,23
2,"케익프라자","구로구","오류동",1984,2007,24
2,"고려제과","구로구","가리봉동",1985,1995,11
2,"꾸쉬꾸떼과자점","구로구","오류동",1985,2010,26
2,"보나뻬띠","구로구","고척동",1985,2008,24
2,"조강섭베이커리","구로구","구로동",1985,2006,22
2,"영국빵집","구로구","구로동",1986,2006,21
2,"파리바게트구로공단역점","구로구","구로동",1986,2007,22
2,"보시엘드파리","구로구","구로동",2011,2011,1
